pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:WuMeiWan,乌梅丸证,lj:Jueyin_Instance,【11.47】,6,zz:QiShangZhuangXin(9.6184); zz:XinZhongTengRe(9.6184); zz:JiErBuYuShi(9.6184); zz:ShiZeTuHui(9.6184); mx:Pulse_Xian(8.6184); zz:XiaoKe(7.2965)
fj:DangGuiSiNiJiaRenShenFuZiTang,当归四逆加人参附子汤证,lj:Jueyin_Instance,【11.72】,1,zz:ShouZuJueNi(8.6184)
fj:DangGuiSiNiJiaWuZhuYuShengJiangFuZiTang,当归四逆加吴茱萸生姜附子汤证,lj:Jueyin_Instance,【11.72】,1,zz:NeiYouJiuHan(9.6184)
fj:SiNiTang_Jueyin,四逆汤证（厥阴）,lj:Jueyin_Instance,【11.73】,6,zz:DaHanChu(9.6184); zz:ReBuQu(9.6184); zz:NeiJuJi(9.6184); zz:SiZhiTeng(9.6184); zz:JueNiErEHAN(9.6184); zz:XiaLi(5.7115)
fj:GuaDiSan_Jueyin,瓜蒂散证（厥阴）,lj:Jueyin_Instance,【11.75】,4,zz:XinXiaMan(9.6184); zz:Fan(9.6184); zz:JiBuNengShi(9.6184); zz:ShouZuJueLeng(7.6184)
fj:FuLingGanCaoTang,茯苓甘草汤证（厥阴）,lj:Jueyin_Instance,【11.76】,1,zz:JueErXinXiaJi(8.6184)
fj:RenShenFuZiTang,人参附子汤证,lj:Jueyin_Instance,【11.77】,3,zz:YiXia(9.6184); zz:TuNongXue(9.6184); zz:YanHouBuLi(8.0334)
fj:MaHuangShengMaTang,麻黄升麻汤证,lj:Jueyin_Instance,【11.79】,2,zz:HanGe(9.6184); zz:TuXia(9.6184)
fj:GanJiangHuangQinHuangLianRenShenTang,干姜黄芩黄连人参汤证,lj:Jueyin_Instance,【11.79】,1,zz:ShiRuKouJiTu(8.0334)
fj:BaiTouWengTang,白头翁汤证（厥阴）,lj:Jueyin_Instance,【11.91】,2,zz:XiaZhong(9.6184); zz:ReLi(7.6184)
fj:BaiTouWengJiaEJiaoGanCaoTang,白头翁加阿胶甘草汤证,lj:Jueyin_Instance,【11.92】,2,zz:XuJi(9.6184); zz:XiaLi(5.7115)
